Fighter,Opponent,W/L,Method,Competition,Weight,Stage,Year
Fellipe Andrew,Ethan Baumann,W,Submission,Twin Cities Open,ABS,SF,2022
Fellipe Andrew,Alexander Seaver,W,Submission,Twin Cities Open,ABS,F,2022
Fellipe Andrew,Vinicius Reis,W,Armbar,Miami FO,ABS,F,2022
Fellipe Andrew,Roosevelt Sousa,W,Choke from back,IBJJF GP,ABS,SPF,2022
Fellipe Andrew,Hunter Newton,W,N/A,Houston FO,94KG,SF,2022
Fellipe Andrew,Italo Costa,W,RNC,Houston FO,94KG,F,2022
Fellipe Andrew,Felipe Costa,W,Triangle,Houston FO,ABS,SF,2022
Fellipe Andrew,Yan Lucas,W,DQ,Houston FO,ABS,F,2022
Fellipe Andrew,Moises Santoro,W,Pts: 3x0,WP Qualifier,85KG,4F,2022
Fellipe Andrew,Gabriel Costa,W,Pts: 3x0,WP Qualifier,85KG,SF,2022
Fellipe Andrew,Jansen Gomes,W,Pts: 2x1,WP Qualifier,85KG,F,2022
Fellipe Andrew,Lionel Bareiro,W,Pts: 4x0,World Pro,85KG,R1,2022
Fellipe Andrew,Nejc Hodnik,W,Pts: 9x0,World Pro,85KG,8F,2022
Fellipe Andrew,Uanderson Ferreira,W,Pts: 2x0,World Pro,85KG,4F,2022
Fellipe Andrew,Isaque Bahiense,W,Pts: 6x5,World Pro,85KG,SF,2022
Fellipe Andrew,Fausto Godoy,W,Pts: 7x1,World Pro,85KG,F,2022
Fellipe Andrew,Cassio Costa,W,Katagatame,JJ Con,100KG,F,2022
Fellipe Trovo,Wallace Costa,L,Pts: 5x2,Pan American,ABS,4F,2022
Fellipe Trovo,Pedro Machado,L,Armbar,Pan American,94KG,R2,2022
Fellipe Trovo,Austin Baker,L,Pts: 5x0,Warrior Challenger,ABS,4F,2022
Fellipe Trovo,Adam Wardzinski,L,Katagatame,SD Open,94KG,F,2022
Fellipe Trovo,Kaynan Duarte,L,Choke from back,World Champ.,94KG,4F,2022
Fellipe Trovo,Henrique Cardoso,L,Pts: 2x0,NoGi Worlds,97KG,F,2022
Fellipe Trovo,Pedro Marinho,W,Katagatame,LA Open,94KG,SF,2022
Fellipe Trovo,Lucas Lisboa,W,RNC,Pan American,ABS,R2,2022
Fellipe Trovo,Italo Lima,W,Bow and arrow,SD Open,94KG,SF,2022
Fellipe Trovo,Hugh Fletcher,W,Mounted X choke,Denver Open,94KG,SF,2022
Fellipe Trovo,Aaron Tiegs,W,N/A,Denver Open,ABS,R1,2022
Fellipe Trovo,Aaron Tiegs,W,Triangle,Denver Open,ABS,R1,2022
Fellipe Trovo,Lucas Norat,W,Triangle,Denver Open,ABS,4F,2022
Fellipe Trovo,Jonata Gomes,W,Referee Decision,Denver Open,ABS,SF,2022
Fellipe Trovo,Arnaldo Maidana,W,Pts: 4x0,World Champ.,94KG,8F,2022
Fellipe Trovo,Diego Ramalho,W,RNC,NoGi Worlds,97KG,8F,2022
Frank Cespedes,Junny Ocasio,L,Pts: 10x8,Atlanta WO,64KG,F,2022
Frank Cespedes,Osamah Almarwai,L,Pts: 4x2,LA Open,57KG,F,2022
Frank Cespedes,Bebeto Oliveira,L,Pts: 10x8,Pan American,57KG,SF,2022
Frank Cespedes,Osamah Almarwai,L,Pts: 6x4,Denver Open,58KG,F,2022
Frank Cespedes,Thalison Soares,L,Pts: 14x8,World Champ.,57KG,4F,2022
Frank Cespedes,Zayed Alkatheeri,L,Pts: 5x5,Grand Slam MIA,56KG,F,2022
Frank Cespedes,Dennis Pressey,W,Armbar,Atlanta WO,64KG,SF,2022
Frank Cespedes,Italo Bonfim,W,Bow and arrow,Pan American,57KG,4F,2022
Frank Cespedes,Dustin Ordinario,W,RNC,Denver Open,58KG,RR,2022
Frank Cespedes,Marko Oikarainan,W,Pts: 10x0,World Champ.,57KG,R1,2022
Frank Cespedes,Italo Frota,W,Violin armlock,Grand Slam MIA,56KG,SF,2022
Frank Cespedes,Gregory Hernandez,W,Bow and arrow,JJ Con,57KG,SF,2022
Frank Cespedes,Luciano Vieira,W,Choke from back,JJ Con,57KG,F,2022
Frank Rosenthal,Emilio Hernandez,L,Pts: 2x0,Atlanta SPNGO,67KG,SF,2022
Frank Rosenthal,Luan Gomes,L,N/A,NHaven FNGO,67KG,4F,2022
Frank Rosenthal,Dave Weintraub,W,EBI/OT,Finishers Only,65KG,SF,2022
Frank Rosenthal,Chris Sodbinow,W,N/A,Atlanta SPNGO,67KG,4F,2022
Fernanda Cristo,Maria Malyjasiak,L,Pts: 2x0,Pan American,71KG,SF,2022
Fernanda Cristo,Larissa Dias,L,Choke from back,Houston Open,ABS,F,2022
Fernanda Cristo,Ana Vieira,L,Pts: 7x0,World Champ.,74KG,SF,2022
Fernanda Cristo,Gloria Armas,W,Pts: 6x4,Houston Open,74KG,SF,2022
Fernanda Cristo,Elizabeth Mitrovic,W,Pts: 23x0,Houston Open,74KG,F,2022
Fernanda Cristo,Jessica Guedry,W,Pts: 12x0,Houston Open,ABS,4F,2022
Fernanda Cristo,Hannah Rauch,W,Pts: 9x0,Houston Open,ABS,SF,2022
Fernanda Cristo,Elizabeth Mitrovic,W,Pts: 5x0,World Champ.,74KG,4F,2022
Flavio Vianna,Uanderson Ferreira,L,Pts: 7x2,Dubai Pro,85KG,F,2022
Flavio Vianna,Uanderson Ferreira,L,Armbar,Fujairah Pro,85KG,SF,2022
Flavio Vianna,A. Baasandorj,W,Submission,Dubai Pro,85KG,4F,2022
Flavio Vianna,Jakson Bernardo,W,Pts: 4x1,Fujairah Pro,85KG,4F,2022
Francisco Cuneo,Rodrigo Gortari,L,Referee Decision,Miami WO,82KG,SF,2022
Francisco Cuneo,Kennedy Maciel,L,Pts: 0x0,Miami WO,ABS,R1,2022
Francisco Cuneo,Andy Murasaki,L,Mounted X choke,Dallas Open,82KG,SF,2022
Francisco Cuneo,Oliver Taza,L,Pts: 4x0,Dallas NGO,79KG,SF,2022
Francisco Cuneo,Matheus Galvao,L,Points,Dallas NGO,ABS,SF,2022
Francisco Cuneo,Andre Gois,L,Pts: 7x0,Charleston Open,82KG,SF,2022
Francisco Cuneo,Hugo Marques,L,RNC,Charleston NGO,79KG,F,2022
Francisco Cuneo,Vagner Rocha,L,RNC,Charleston NGO,ABS,SF,2022
Francisco Cuneo,Oliver Taza,L,Referee Decision,Atlanta SPNGO,79KG,SF,2022
Francisco Cuneo,Matheus Galvao,L,N/A,Houston NGO,79KG,SF,2022
Francisco Cuneo,Andre Porfirio,L,Calf slicer,Houston NGO,ABS,SF,2022
Francisco Cuneo,Dante Leon,L,Points,Orlando SMNGO,79KG,SF,2022
Francisco Cuneo,Vagner Rocha,L,Points,Orlando SMNGO,ABS,4F,2022
Francisco Cuneo,Eduardo Avelar,L,Pts: 2x0,JJ Con NG,79KG,SF,2022
Francisco Cuneo,Diego Ramalho,L,Referee Decision,Charleston FNGO,ABS,SF,2022
Francisco Cuneo,Andy Murasaki,L,Pts: 4x0,Houston FNGO,79KG,F,2022
Francisco Cuneo,Victor Hugo,L,Pen,Houston FNGO,ABS,F,2022
Francisco Cuneo,Roosevelt Sousa,L,RNC,Nashville NGO,ABS,F,2022
Francisco Cuneo,Pedro Marinho,L,RNC,Waco NGO,ABS,F,2022
Francisco Cuneo,Victor Hugo,L,Short choke,NoGi Worlds,ABS,4F,2022
Francisco Cuneo,John Combs,L,RNC,NoGi Worlds,79KG,4F,2022
Francisco Cuneo,Austin Oranday,W,Pts: 6x0,Dallas Open,82KG,4F,2022
Francisco Cuneo,Matheus Galvao,W,Pts: 0x0,Dallas NGO,79KG,4F,2022
Francisco Cuneo,Bryan Peterson,W,Points,Dallas NGO,ABS,4F,2022
Francisco Cuneo,Joao Albuquerque,W,Guillotine,Charleston NGO,79KG,SF,2022
Francisco Cuneo,Clay Mayfield,W,Guillotine,Atlanta SPNGO,ABS,RR,2022
Francisco Cuneo,Oliver Taza,W,N/A,Chicago SPNGO,73KG,SF,2022
Francisco Cuneo,Michael Backman,W,N/A,Chicago SPNGO,73KG,F,2022
Francisco Cuneo,Andrew Kimler,W,N/A,Houston NGO,ABS,4F,2022
Francisco Cuneo,Andrew Pardee,W,Pts: 2x0,Washington NGO,79KG,RR,2022
Francisco Cuneo,Robert Sullivan,W,Pts: 2x0,Washington NGO,79KG,F,2022
Francisco Cuneo,Thiago Girundi,W,RNC,American NGN,79KG,SF,2022
Francisco Cuneo,Edmund Kim,W,Pts: 3x0,American NGN,79KG,F,2022
Francisco Cuneo,Oliver Seng,W,N/A,N. Haven NGO,79KG,SF,2022
Francisco Cuneo,Colon Santana,W,Aoki lock,Atlanta FNGO,79KG,SF,2022
Francisco Cuneo,Sergio Ardila,W,Pts: 0x0,Atlanta FNGO,79KG,F,2022
Francisco Cuneo,Clay Mayfield,W,Points,Charleston FNGO,79KG,SF,2022
Francisco Cuneo,Gialysson Freitas,W,Points,Charleston FNGO,79KG,F,2022
Francisco Cuneo,Ricky Semiglia,W,Pts: 11x0,Charleston FNGO,ABS,4F,2022
Francisco Cuneo,Vinicius Wong,W,Pts: 7x0,Houston FNGO,79KG,SF,2022
Francisco Cuneo,Felipe Costa,W,Points,Houston FNGO,ABS,SF,2022
Francisco Cuneo,Lucas Brito,W,Pts: 2x0,Nashville NGO,79KG,SF,2022
Francisco Cuneo,Jonathan Lane,W,Katagatame,Nashville NGO,79KG,F,2022
Francisco Cuneo,Lucas Brito,W,Pts: 7x2,Nashville NGO,ABS,4F,2022
Francisco Cuneo,Clay Mayfield,W,Pts: 7x2,Nashville NGO,ABS,SF,2022
Francisco Cuneo,Joao Costa,W,Points,NHaven FNGO,97KG,F,2022
Francisco Cuneo,Alexander Seneco,W,Points,NHaven FNGO,ABS,4F,2022
Francisco Cuneo,Brian Beaury,W,Points,NHaven FNGO,ABS,SF,2022
Francisco Cuneo,Michael Esquivel,W,Pts: 12x0,Waco NGO,85KG,SF,2022
Francisco Cuneo,Avery Brooks,W,Referee Decision,Waco NGO,85KG,F,2022
Francisco Cuneo,Erick Barreto,W,Guillotine,Waco NGO,ABS,4F,2022
Francisco Cuneo,Lukete Silva,W,Referee Decision,Waco NGO,ABS,SF,2022
Francisco Cuneo,Freddy Vosgrone,W,Pts: 0x0,NoGi Worlds,ABS,8F,2022
Francisco Cuneo,Rolando Samson,W,Pts: 2x0,NoGi Worlds,79KG,8F,2022
Francisco Lo,Uanderson Ferreira,L,Referee Decision,Grand Slam RJ,85KG,8F,2022
Francisco Lo,Erick Diovano,L,Armbar,S Paulo NGO,ABS,F,2022
Francisco Lo,Italo Moura,L,RNC,Houston FNGO,85KG,4F,2022
Francisco Lo,Roosevelt Sousa,L,Pts: 8x0,NoGi Worlds,ABS,4F,2022
Francisco Lo,Jonnatas Gracie,L,Pts: 9x0,NoGi Worlds,85KG,4F,2022
Francisco Lo,Carlos Barbosa,W,Submission,SP Open,82KG,R1,2022
Francisco Lo,Henrique Nobrega,W,Pts: 7x0,SP Open,82KG,4F,2022
Francisco Lo,Lucas Foguinho,W,Points,SP Open,82KG,SF,2022
Francisco Lo,Lucas Gualberto,W,Triangle,SP Open,82KG,F,2022
Francisco Lo,Gabriel Machado,W,Pts: 3x0,S Paulo NGO,85KG,SF,2022
Francisco Lo,Javier Valenciano,W,Pts: 10x0,S Paulo NGO,85KG,F,2022
Francisco Lo,Felipe Nacib,W,Pts: 25x0,S Paulo NGO,ABS,4F,2022
Francisco Lo,Jhoannan Vielma,W,Short choke,S Paulo NGO,ABS,SF,2022
Francisco Lo,Lucas Alves,W,Armlock,S Paulo NGO,85KG,4F,2022
Francisco Lo,Joao Cizeski,W,Calf slicer,Houston FO,88KG,4F,2022
Francisco Lo,Yan Lucas,W,Triangle,Houston FO,88KG,SF,2022
Francisco Lo,Jhoannan Vielma,W,RNC,NoGi Worlds,ABS,R1,2022
Francisco Lo,Adam Wardzinski,W,Triangle,NoGi Worlds,ABS,8F,2022
Francisco Lo,Clay Mayfield,W,Pts: 5x0,NoGi Worlds,85KG,8F,2022
Gabriel Almeida,Mateus Rodrigues,L,Pts: 0x0,LA Open,88KG,F,2022
Gabriel Almeida,Fellipe Andrew,L,Pts: 3x2,Grand Slam MIA,94KG,4F,2022
Gabriel Almeida,Andre Porfirio,L,Pts: 4x2,Grand Slam MIA,94KG,RPC,2022
Michael Liera Junior,Pablo Lavaselli,L,Pts: 4x2,American Nat.,76KG,F,2022
Michael Liera Junior,Israel Sousa,W,Pts: 6x4,American Nat.,76KG,4F,2022
Michael Liera Junior,Osvaldo Moizinho,W,Pts: 4x4,American Nat.,76KG,SF,2022
Gabriel Almeida,Italo Lima,W,Pts: 0x0,N. Orleans Open,94KG,SF,2022
Gabriel Almeida,Freddy Vosgrone,W,DQ,N. Orleans NGO,O97KG,SF,2022
Gabriel Almeida,David Margraf,W,Points,N. Orleans NGO,O97KG,F,2022
Gabriel Almeida,Justin Workman,W,Choke,LA Open,88KG,4F,2022
Gabriel Almeida,Sergio Rios,W,Pts: 7x4,LA Open,88KG,SF,2022
Gabriel Almeida,Dominique Bell,W,Pts: 2x0,LA NGO,91KG,SF,2022
Gabriel Almeida,Kevin Berbich,W,Anaconda choke,LA NGO,91KG,F,2022
Gabriel Almeida,Bryan Peterson,W,Armbar,Chicago SPO,94KG,RR,2022
Gabriel Almeida,Marlon Ferreira,W,Triangle,Chicago SPO,94KG,F,2022
Gabriel Almeida,Thiago Andrade,W,Guillotine,JJ Con NG,91KG,SF,2022
Gabriel Almeida,Rodrigo Tatu,W,Anaconda choke,JJ Con NG,91KG,F,2022
Gabriel Almeida,Ricky Ridela,W,Policeman lock,JJ Con NG,ABS,4F,2022
Gabriel Almeida,Joshua Bacallao,W,Americana,JJ Con NG,ABS,SF,2022
Gabriel Almeida,Diego Oliveira,W,Anaconda choke,JJ Con NG,ABS,F,2022
Gabriel Arges,Jonnatas Gracie,L,Referee Decision,NoGi Worlds,85KG,8F,2022
Gabriel Arges,Aaron Tiegs,W,Pts: 4x2,NoGi Worlds,85KG,R1,2022
Gabriel Costa,Rafael Paganini,L,Pts: 2x1,Grand Slam RJ,85KG,SF,2022
Gabriel Costa,Fellipe Andrew,L,Pts: 3x0,WP Qualifier,85KG,SF,2022
Gabriel Costa,Weiddy Souza,W,Armbar,Guarapari Pro,85KG,SF,2022
Gabriel Costa,Gustavo Borges,W,Pts: 1x0,Guarapari Pro,85KG,F,2022
Gabriel Costa,Wellington Luis,W,Choke,Gramado Pro,85KG,F,2022
Gabriel Costa,Vinicius Reis,W,Pts: 2x0,SA Cont. Pro,85KG,4F,2022
Gabriel Costa,Erick Souza,W,Submission,SA Cont. Pro,85KG,SF,2022
Gabriel Costa,Iago Martins,W,Pts: 2x0,SA Cont. Pro,85KG,F,2022
Gabriel Costa,Seonghun Yoo,W,Pts: 1x0,Grand Slam AD,85KG,4F,2022
Gabriel Costa,C. Negromonte,W,Pts: 2x2,Grand Slam AD,85KG,SF,2022
Gabriel Costa,Uanderson Ferreira,W,Choke from back,Grand Slam AD,85KG,F,2022
Gabriel Costa,Mateus Lima,W,Choke,Belem Pro,85KG,SF,2022
Gabriel Costa,Ronieri Silva,W,Submission,Belem Pro,85KG,F,2022
Gabriel Costa,Bruno Tosto,W,Pts: 0x0,Rio WO,88KG,4F,2022
Gabriel Costa,Rodrigo Sezinando,W,Pts: 0x0,Rio WO,88KG,SF,2022
Gabriel Costa,Rodrigo Rocha,W,Choke from back,Grand Slam RJ,85KG,R1,2022
Gabriel Costa,Reyson Lima,W,Pts: 2x0,Grand Slam RJ,85KG,8F,2022
Gabriel Costa,Ramiro Galvan,W,Pts: 4x0,Grand Slam RJ,85KG,4F,2022
Gabriel Costa,C. Negromonte,W,Pts: 3x2,Grand Slam RJ,85KG,RPC,2022
Gabriel Costa,Leon Brito,W,Pts: 2x1,Grand Slam RJ,85KG,3RD,2022
Gabriel Costa,W.Otaviano,W,Pts: 9x2,Joao Pessoa Pro,85KG,SF,2022
Gabriel Costa,Paulo Mariz,W,Pts: 3x0,Joao Pessoa Pro,85KG,F,2022
Gabriel Costa,Caio Knabben,W,Submission,Balneario Pro,85KG,4F,2022
Gabriel Costa,Rhuan Duarte,W,Pts: 1x0,Balneario Pro,85KG,SF,2022
Gabriel Costa,Lionel Bareiro,W,Pts: 11x0,Balneario Pro,85KG,F,2022
Gabriel Costa,Hermeson Leao,W,Choke from back,North BRA Pro,85KG,SF,2022
Gabriel Costa,Felipe Teixeira,W,Pts: 1x0,North BRA Pro,85KG,SF,2022
Gabriel Gaudio,Lucas Pinheiro,L,Pts: 7x2,Oklahoma Open,70KG,SF,2022
Gabriel Gaudio,Hunter Colvin,L,RNC,Oklahoma NGO,ABS,4F,2022
Gabriel Gaudio,Elijah Tagalog,L,N/A,SD NGO,67KG,F,2022
Gabriel Gaudio,Emilio Hernandez,L,Armbar,American NGN,70KG,SF,2022
Gabriel Gaudio,Isaias Higino,L,Pts: 4x2,Orlando SMNGO,67KG,F,2022
Gabriel Gaudio,Santiago Furlong,W,Pts: 3x0,Dallas NGO,67KG,SF,2022
Gabriel Gaudio,Geoffrey Villareal,W,Points,SD NGO,67KG,SF,2022
Gabriel Gaudio,Santiago Furlong,W,Pts: 2x0,Denver NGO,67KG,F,2022
Gabriel Gaudio,Aaron Morris,W,Pts: 15x0,Austin SMNGO,68KG,SF,2022
Gabriel Gaudio,James Harrell,W,Pts: 2x0,Austin SMNGO,68KG,F,2022
Gabriel Gaudio,Dennis Pressey,W,Pts: 0x0,Orlando SMNGO,67KG,SF,2022
Gabriel Henrique Oliveira,Pedro Machado,L,Pts: 0x0,World Champ.,94KG,8F,2022
Gabriel Henrique Oliveira,Marcus Ribeiro,L,Pts: 7x0,Floripa WO,ABS,F,2022
Gabriel Henrique Oliveira,Rider Zuchi,L,Pts: 2x0,Betim Open,94KG,F,2022
Gabriel Henrique Oliveira,Marcelo Gomide,L,Pts: 0x0,Betim Open,ABS,F,2022
Gabriel Henrique Oliveira,Rider Zuchi,L,Pts: 2x0,Grand Slam RJ,94KG,F,2022
Gabriel Henrique Oliveira,Jansen Gomes,L,Pts: 7x2,Vitoria Open,ABS,SF,2022
Gabriel Henrique Oliveira,Pedro Machado,L,Pts: 2x0,Rio BJJ Pro,94KG,F,2022
Gabriel Henrique Oliveira,Leandro Carlos,L,Referee Decision,South American,94KG,F,2022
Gabriel Henrique Oliveira,Gutemberg Pereira,L,Pts: 4x2,South American,ABS,F,2022
Fellipe Trovo,Lucas Norat,W,Verbal tap,NoGi Worlds,91KG,F,2022
Gabriel Henrique Oliveira,Peronnio Bernelli,W,Armbar,Floripa WO,94KG,SF,2022
Gabriel Henrique Oliveira,Gabriel Volante,W,Pts: 3x0,Floripa WO,94KG,F,2022
Gabriel Henrique Oliveira,Joao Souza,W,Referee Decision,Rio WO,94KG,4F,2022
Gabriel Henrique Oliveira,Matheus Marques,W,Pts: 6x2,Rio WO,94KG,SF,2022
Gabriel Henrique Oliveira,Elionai Braz,W,Pts: 0x0,Rio WO,94KG,F,2022
Gabriel Henrique Oliveira,Paulo Fernando,W,Armbar,Rio WO,ABS,4F,2022
Gabriel Henrique Oliveira,Icaro Vidal,W,Pts: 2x2,Betim Open,94KG,4F,2022
Gabriel Henrique Oliveira,Wallison Pardim,W,Pts: 2x2,Betim Open,94KG,SF,2022
Gabriel Henrique Oliveira,Gabriel Machado,W,Pts: 2x2,Betim Open,ABS,R1,2022
Gabriel Henrique Oliveira,Marlon Ferreira,W,No arm triangle,Betim Open,ABS,4F,2022
Gabriel Henrique Oliveira,Rafael Paganini,W,Pts: 0x0,Betim Open,ABS,SF,2022
Gabriel Henrique Oliveira,Empson Resende,W,Katagatame,Grand Slam RJ,94KG,R1,2022
Gabriel Henrique Oliveira,Javier Barter,W,Pts: 6x0,Grand Slam RJ,94KG,4F,2022
Gabriel Henrique Oliveira,Harryson Pereira,W,Pts: 2x2,Grand Slam RJ,94KG,SF,2022
Francisco Cuneo,Vinicius Wong,W,Adv,Houston FNGO,ABS,4F,2022
Gabriel Henrique Oliveira,Joao Freitas,W,Armbar,Vitoria Open,100KG,SF,2022
Gabriel Henrique Oliveira,Kelvin Cruz,W,Violin armlock,Vitoria Open,ABS,4F,2022
Gabriel Henrique Oliveira,Raul Basilio,W,Pts: 3x0,SP Open,ABS,4F,2022
Gabriel Henrique Oliveira,Luis Oliveira,W,Pts: 6x4,SP Open,ABS,SF,2022
Gabriel Henrique Oliveira,Gabriel Neto,W,Choke from back,SP Open,ABS,F,2022
Gabriel Henrique Oliveira,Bruno Tosto,W,Choke from back,Rio BJJ Pro,94KG,4F,2022
Gabriel Henrique Oliveira,Marcelo Lemelle,W,Katagatame,Rio BJJ Pro,94KG,SF,2022
Gabriel Henrique Oliveira,Pedro Agrizzi,W,DQ,Vitoria Open,100KG,F,2022
Gabriel Henrique Oliveira,Bruno Gambim,W,Choke from back,Curitiba SPO,ABS,R1,2022
Gabriel Henrique Oliveira,Reyson Lima,W,Pts: 2x0,Curitiba SPO,ABS,SF,2022
Gabriel Henrique Oliveira,Lafayette Junio,W,Pts: 2x0,South American,94KG,SF,2022
Gabriel Henrique Oliveira,Raphael Santos,W,Katagatame,South American,ABS,4F,2022
Gabriel Henrique Oliveira,Jacson Silva,W,Bow and arrow,South American,ABS,SF,2022
Gabriel Henrique Oliveira,Guilherme Vilhalba,W,N/A,S. Leopoldo OP,94KG,SF,2022
Gabriel Henrique Oliveira,Otavio Santos,W,Choke from back,S. Leopoldo OP,94KG,F,2022
Gabriel Henrique Oliveira,Matheus Freire,W,Choke from back,Brasilia Open,94KG,SF,2022
Gabriel Henrique Oliveira,Yann Cathalat,W,Triangle,Brasilia Open,94KG,F,2022
Gabriel Henrique Oliveira,Gabriel Machado,W,Pts: 7x0,Brasilia Open,ABS,4F,2022
Gabriel Henrique Oliveira,Vinicius Lessa,W,Pts: 2x2,Brasilia Open,ABS,SF,2022
Gabriel Henrique Oliveira,Hygor Brito,W,Armbar,Brasilia Open,ABS,F,2022
Gabriel Henrique Oliveira,Joao Leal,W,Pts: 8x2,Curitiba SPO,100KG,F,2022
Osvaldo Moizinho,Michael Liera,L,Pts: 4x4,American Nat.,76KG,SF,2022
Harryson Pereira,Dimitrius Souza,L,Pts: 6x4,World Champ.,94KG,4F,2022
Gabriel Henrique Oliveira,Felipe Cranivata,W,Verbal tap,Curitiba SPO,100KG,SF,2022
Gabriel Marangoni,Derrick Easterling,W,Kimura,F2W 201,70KG,SPF,2022
Gabriel de Oliveira,Gutemberg Pereira,L,Omoplata,Sul Brasileiro,O100KG,SF,2022
Gabriel de Oliveira,Erberth Santos,L,Referee Decision,SD Open,O100KG,F,2022
Gabriel de Oliveira,Austin Baker,L,Kimura,Phoenix Open,O100KG,F,2022
Gabriel de Oliveira,Fellipe Andrew,L,Katagatame,JJ Con,ABS,F,2022
Gabriel de Oliveira,Pablo Almeida,W,Cachecol choke,Sul Brasileiro,O100KG,4F,2022
Gabriel de Oliveira,Antonio Zuazo,W,Points,SD NGO,O97KG,F,2022
Osvaldo Moizinho,Fabricio Barbarotti,W,DQ,American Nat.,76KG,4F,2022
Gabriel de Oliveira,Jackson Douglas,W,Pts: 7x4,Phoenix Open,O100KG,RR,2022
Gabriel de Oliveira,Austin Baker,W,Pts: 2x0,Phoenix NGO,O97KG,SF,2022
Gabriel de Oliveira,Joshua Guerra,W,Pts: 7x0,Phoenix NGO,O97KG,F,2022
Gabriel de Oliveira,Rehan Silva,W,Cachecol choke,JJ Con,O100KG,SF,2022
Gabriel de Oliveira,Joshua Guerra,W,Cachecol choke,JJ Con,O100KG,F,2022
Gabriel de Oliveira,Vitor Peres,W,Referee Decision,JJ Con,ABS,4F,2022
Gabriel de Oliveira,Wildemar Santos,W,Pts: 11x0,JJ Con,ABS,SF,2022
Gabriel Rollo,Luis Ribas,L,RNC,SP Open,76KG,SF,2022
Guilherme Rocha,Iranslav Neoral,W,Ezekiel,Salvador Open,76KG,4F,2022
Gabriel Rollo,Gustavo Vieira,W,Choke from back,Vitoria Open,76KG,R1,2022
Gabriel Rollo,Iranslav Neoral,W,Choke from back,Vitoria Open,76KG,4F,2022
Gabriel Rollo,Facundo Ciancio,W,Pts: 2x2,Vitoria Open,76KG,F,2022
Gabriel Rollo,Jonas Bruno,W,Choke from back,SP Open,76KG,4F,2022
Gabriel Rollo,Joao Machado,W,Paper cutter choke,Curitiba SPO,76KG,SF,2022
Gabriel Rollo,Iranslav Neoral,W,Mounted X choke,Curitiba SPO,76KG,F,2022
Gabriel Rollo,Douglas Duarte,W,Choke from back,S. Leopoldo OP,76KG,SF,2022
Gabriel Rollo,Francis Quinn,W,N/A,S. Leopoldo OP,76KG,F,2022
Gabriel Rollo,Joao Vitor,W,N/A,Salvador SPO,76KG,4F,2022
Gabriel Rollo,Anselmo Santos,W,N/A,Salvador SPO,76KG,SF,2022
Gabriel Rollo,Wilhiam Mateus,W,N/A,Salvador SPO,76KG,F,2022
Gabriel Sousa,Adam Benayoun,L,EBI/OT,Emerald City,70KG,4F,2022
Gabriel Sousa,Keith Krikorian,L,Referee Decision,WNO 12,70KG,SPF,2022
Gabriel Sousa,Samuel Nagai,L,Violin armlock,World Champ.,70KG,8F,2022
Gabriel Sousa,Deandre Corbe,W,Points,Toro Cup,N/A,SPF,2022
Gabrieli Pessanha,Milene Silva,W,Pts: 10x0,Rio SMO,ABS,SF,2022
Gabrieli Pessanha,Andreia Cavalcante,W,Triangle,European Open,ABS,4F,2022
Gabrieli Pessanha,Nathalie Ribeiro,W,Pts: 0x0,European Open,ABS,SF,2022
Gabrieli Pessanha,Thalyta Lima,W,Armbar,European Open,ABS,F,2022
Gabrieli Pessanha,Claire Thevenon,W,Choke from back,European Open,O79KG,F,2022
Gabrieli Pessanha,Silvia Scomparin,W,Choke from back,Grand Slam LDN,95KG,4F,2022
Gabrieli Pessanha,Barbara Ruiken,W,Botinha,Grand Slam LDN,95KG,SF,2022
Gabrieli Pessanha,Yara Soares,W,Pts: 2x0,Grand Slam LDN,95KG,F,2022
Gabrieli Pessanha,Janine Mutton,W,Choke from back,Pan American,ABS,4F,2022
Gabrieli Pessanha,Melissa Cueto,W,Referee Decision,Pan American,ABS,SF,2022
Gabrieli Pessanha,Yara Soares,W,N/A,Pan American,ABS,F,2022
Gabrieli Pessanha,Yara Soares,W,Pts: 4x0,Pan American,O79KG,F,2022
Gabrieli Pessanha,Jessica Bartolli,W,Kimura,Rio Fall Open,ABS,4F,2022
Gabrieli Pessanha,Vitoria Vieira,W,Choke,Rio Fall Open,ABS,SF,2022
Gabrieli Pessanha,Jessica Caroline,W,Choke,Rio Fall Open,ABS,F,2022
Gabrieli Pessanha,Victoria Borba,W,Mounted triangle,Rio Fall Open,O79KG,F,2022
Gabrieli Pessanha,Bruna Silva,W,Pts: 3x0,SA Cont. Pro,95KG,RR,2022
Gabrieli Pessanha,Bruna Silva,W,Choke from back,SA Cont. Pro,95KG,RR,2022
Gabrieli Pessanha,Carina Santi,W,Reverse triangle,Brasileiro,O79KG,SF,2022
Gabrieli Pessanha,Claire Thevenon,W,Shoulder pressure,Brasileiro,O79KG,F,2022
Gabrieli Pessanha,Carina Santi,W,Bow and arrow,Brasileiro,ABS,SF,2022
Gabrieli Pessanha,Fernanda Mazzelli,W,Choke from back,Brasileiro,ABS,F,2022
Gabrieli Pessanha,Iris Batista,W,Armbar,Salvador Open,O79KG,F,2022
Gabrieli Pessanha,Amanda Magda,W,Armbar,Salvador Open,ABS,SF,2022
Gabrieli Pessanha,Thais Teixeira,W,Choke from back,Salvador Open,ABS,F,2022
Gabrieli Pessanha,Mayara Custodio,W,RNC,World Champ.,O79KG,SF,2022
Gabrieli Pessanha,Rafaela Guedes,W,Pts: 2x0,World Champ.,ABS,SF,2022
