Fighter,Opponent,W/L,Method,Competition,Weight,Stage,Year
AJ Agazarm,Zachary Legates,W,Pts: 4x0,SD NGO,73KG,F,2022
AJ Agazarm,Cody Orrison,W,Pts: 6x2,American NGN,73KG,4F,2022
AJ Agazarm,Daniel Seth,W,Pts: 2x0,American NGN,73KG,SF,2022
AJ Agazarm,Deandre Corbe,W,Pts: 2x0,American NGN,73KG,F,2022
AJ Agazarm,Mikey Zindler,W,Referee Decision,F2W 209,N/A,SPF,2022
Thiago Sá Fortes,Ramiz Yakhiyaev,W,Pts: 2x0,ACB World Champ.,95KG,F,2022
Alan Sanchez,Mica Galvao,L,RNC,WNO 14,83KG,SPF,2022
Alan Sanchez,Jed Hue,L,Pts: 4x0,Polaris 22,86KG,4F,2022
Alan Sanchez,Italo Moura,L,Referee Decision,NoGi Worlds,79KG,R1,2022
Alan Sanchez,John Combs,W,Dead orchard,EBI 19,77KG,4F,2022
Alan Sanchez,Pablo Lavaselli,W,EBI/OT,EBI 19,77KG,SF,2022
Alan Sanchez,Oliver Taza,W,EBI/OT,EBI 19,77KG,F,2022
Alef Brito,Caio Caetano,L,Referee Decision,Denver Open,82KG,SF,2022
Alef Brito,Pedro Machado,L,Americana,Denver Open,ABS,4F,2022
Alef Brito,Matheus Gabriel,L,Pts: 2x0,World Champ.,76KG,8F,2022
Alef Brito,Pablo Lavaselli,L,Choke from back,JJ Con,76KG,SF,2022
Alef Brito,Lucas Brito,L,RNC,Atlanta FO,82KG,F,2022
Alef Brito,Rolando Samson,L,Armbar,Twin Cities Open,82KG,SF,2022
Alef Brito,Andy Murasaki,L,Submission,Houston FO,82KG,F,2022
Austin Baker,Gabriel Oliveira,L,Referee Decision,American Nat.,O100KG,SF,2022
Austin Baker,Marcos Lopes,L,Pts: 6x0,American Nat.,ABS,R1,2022
Danilo Moreira,Kennedy Maciel,W,Referee Decision,American Nat.,70KG,SF,2022
Danilo Moreira,Matheus Onda,W,Pts: 4x0,American Nat.,70KG,F,2022
Alef Brito,A. Mendonca,W,Pts: 4x0,Denver Open,ABS,R1,2022
Alef Brito,Jonata Gomes,W,Pts: 0x0,World Champ.,76KG,R1,2022
Alef Brito,Michael Khatchikian,W,Katagatame,Santa Cruz Open,82KG,SF,2022
Alef Brito,Rehan Muttalib,W,Choke from back,Santa Cruz Open,82KG,F,2022
Alef Brito,Kevin Mahecha,W,Pts: 2x2,JJ Con,76KG,4F,2022
Alef Brito,Clay Mayfield,W,Bow and arrow,Atlanta FO,82KG,4F,2022
Alef Brito,Caio Caetano,W,Pts: 4x4,Atlanta FO,82KG,SF,2022
Alef Brito,Fabricio Barbarotti,W,Points,Houston FO,82KG,4F,2022
Alef Brito,Chris Gores,W,Choke from back,Houston FO,82KG,SF,2022
Alex Munis,Tommy Langaker,L,Loop choke,Grand Slam LDN,85KG,SF,2022
Alex Munis,Sebastian Rodriguez,L,Referee Decision,Pan American,88KG,4F,2022
Alex Munis,Wellington Luis,L,Pts: 2x2,Rio Fall Open,88KG,SF,2022
Alex Munis,Karol Kania,W,Pts: 2x0,Grand Slam LDN,85KG,8F,2022
Alex Munis,Fausto Godoy,W,Pts: 3x1,Grand Slam LDN,85KG,4F,2022
Alex Munis,Adam Bradley,W,Referee Decision,Pan American,88KG,R1,2022
Alex Munis,Vital Neto,W,Pts: 4x2,Rio Fall Open,88KG,4F,2022
Pedro Elias,Caique Honorio,W,Armbar,Rio SMO,94KG,4F,2022
Alex Nguyen,Sophia Casella,L,EBI/OT,Finishers Only,52KG,F,2022
Alex Nguyen,Lauren Sears,W,Armbar,Finishers Only,52KG,SPF,2022
Alex Nguyen,Christina Kruse,W,RNC,Finishers Only,52KG,R1,2022
Alex Nguyen,Liliana Ramos,W,Points,Finishers Only,52KG,4F,2022
Alex Nguyen,Lauren Sears,W,Armbar,Finishers Only,52KG,SF,2022
Alex Nguyen,Jessica Crane,W,RNC,Toro Cup,N/A,SPF,2022
Alex Nguyen,Sophia Cassella,W,Referee Decision,Fury Grappling,N/A,SPF,2022
Alex Nguyen,Olivia Beeskau,W,RNC,Midwest F7,56KG,4F,2022
Alex Nguyen,Tam Dang,W,RNC,Midwest F9,52KG,4F,2022
Alex Nguyen,Trinity Pun,W,Armlock,Midwest F7,56KG,F,2022
Alex Nguyen,Brittany Way,W,EBI/OT,Midwest F9,52KG,F,2022
Alex Nguyen,Chelsea Mapa,W,EBI/OT,Halloween Havoc,N/A,SPF,2022
Alex Nguyen,Jessica Crane,W,RNC,NoGi Worlds,51KG,F,2022
