Fighter,Opponent,W/L,Method,Competition,Weight,Stage,Year,Decided by Points,Point Diff
Gianni Grippo,Mauricio Gomez,L,Referee Decision,F2W 191,76,SPF,2022,0.0,
Gianni Grippo,Kieran Kichuk,L,EBI/OT,Emerald City,70,SF,2022,0.0,
Gianni Grippo,Yuta Shimada,L,6x6,N. Haven FO,70,F,2022,1.0,0.0
Gianni Grippo,Michael Perez,L,2x0,NoGi Worlds,ABS,8F,2022,1.0,2.0
Gianni Grippo,Jordan Holy,W,EBI/OT,Emerald City,70,4F,2022,0.0,
Gianni Grippo,Chris Kriebel,W,,N. Haven FO,70,SF,2022,0.0,
Gianni Grippo,Luan Gomes,W,,NHaven FNGO,67,SF,2022,0.0,
Gianni Grippo,Christopher Kriebel,W,,NHaven FNGO,67,F,2022,0.0,
Gianni Grippo,Jackson Douglas,W,2x0,NoGi Worlds,ABS,R1,2022,1.0,2.0
Gianni Grippo,Emilio Hernandez,W,RNC,NoGi Worlds,67,4F,2022,0.0,
Gianni Grippo,Anthony Oliveira,W,Katagatame,NoGi Worlds,67,SF,2022,0.0,
Gianni Grippo,Gavin Corbe,W,8x6,NoGi Worlds,67,F,2022,1.0,2.0
Giovanna Jara,Rafaela Bertolot,L,4x2,Grand Slam RJ,70,SF,2022,1.0,2.0
Giovanna Jara,Gabrieli Pessanha,L,11x9,Grand Slam MIA,95,F,2022,1.0,2.0
Giovanna Jara,Gabrieli Pessanha,L,3x2,World Pro,95,RR,2022,1.0,1.0
Giovanna Jara,Gabrieli Pessanha,L,2x2,World Pro,95,F,2022,1.0,0.0
Giovanna Jara,Amanda Hening,W,8x2,Grand Slam RJ,70,4F,2022,1.0,6.0
Giovanna Jara,Kamilla Souza,W,Submission,Grand Slam RJ,70,RPC,2022,0.0,
Giovanna Jara,Amanda Hening,W,2x1,Grand Slam RJ,70,3RD,2022,1.0,1.0
Giovanna Jara,Larissa Dias,W,2x0,Grand Slam MIA,95,SF,2022,1.0,2.0
Giovanna Jara,Mikaela Barros,W,9x0,WP Qualifier,95,RR,2022,1.0,9.0
Giovanna Jara,Mikaela Barros,W,Armbar,WP Qualifier,95,RR,2022,0.0,
Giovanna Jara,Barbara Ruiken,W,Submission,World Pro,95,RR,2022,0.0,
Giovanna Jara,Yasmira Dias,W,6x0,World Pro,95,SF,2022,1.0,6.0
Gabriel Henrique Oliveira,Ian Cerqueira,W,Armlock,Curitiba SPO,ABS,4F,2022,0.0,
Gordon Ryan,Jacob Couch,W,Pressure,WNO 12,92,SPF,2022,0.0,
Gordon Ryan,Pedro Marinho,W,RNC,WNO 13,93,SPF,2022,0.0,
Gordon Ryan,Nick Rodriguez,W,EBI/OT,UFC Invitational,ABS,SPF,2022,0.0,
Guilherme Bacha,Rafael Lovato,L,7x2,European Open,100,F,2022,1.0,5.0
Guilherme Bacha,Rodrigo Ribeiro,L,1x0,Dubai Pro,120,4F,2022,1.0,1.0
Guilherme Bacha,Anton Sleznev,L,4x1,Grand Slam AD,120,SF,2022,1.0,3.0
Guilherme Bacha,Felipe Bezerra,L,3x2,Grand Slam AD,120,RPC,2022,1.0,1.0
Guilherme Bacha,Victor Hugo,L,Bow and arrow,World Champ.,100,4F,2022,0.0,
Guilherme Bacha,Daniel Conceicao,L,2x2,UAE Nat Pro,120,4F,2022,1.0,0.0
Guilherme Bacha,Rodrigo Ribeiro,L,Referee Decision,Asia Pro,120,F,2022,0.0,
Guilherme Bacha,Rodrigo Ribeiro,L,8x0,WP Qualifier,120,RR,2022,1.0,8.0
Guilherme Bacha,Tacio Carneiro,L,Referee Decision,Dublin Open,100,F,2022,0.0,
Guilherme Bacha,Karol Kania,L,,Dublin NGO,ABS,4F,2022,0.0,
Guilherme Bacha,Tacio Carneiro,W,5x0,European Open,100,R1,2022,1.0,5.0
Guilherme Bacha,Almog Britsch,W,Kimura,European Open,100,4F,2022,0.0,
Guilherme Bacha,Felipe Mauricio,W,9x0,European Open,100,SF,2022,1.0,9.0
Guilherme Bacha,Renato Cardoso,L,Referee Decision,NAS Sports,100,F,2022,0.0,
Guilherme Bacha,Lucas Giraud,W,0x0,NAS Sports,100,4F,2022,1.0,0.0
Guilherme Bacha,Saquid Naser,W,Reverse triangle,President Cup,,,2022,0.0,
Guilherme Bacha,Faisal Alharthi,W,Submission,President Cup,,,2022,0.0,
Guilherme Bacha,Mansur Makh.,W,4x2,Grand Slam AD,120,R1,2022,1.0,2.0
Guilherme Bacha,Yatan Bueno,W,Referee Decision,Grand Slam AD,120,4F,2022,0.0,
Guilherme Bacha,Otavio Nalati,W,Referee Decision,World Champ.,100,8F,2022,0.0,
Guilherme Bacha,Ali AlMeqbali,W,Submission,VP Cup,120,4F,2022,0.0,
Guilherme Bacha,Ithalo Lopes,W,3x2,Asia Pro,120,SF,2022,1.0,1.0
Guilherme Bacha,Felippe Praia,W,2x0,WP Qualifier,120,RR,2022,1.0,2.0
Guilherme Bacha,Patryc Wysocki,W,Kimura,Dublin Open,100,SF,2022,0.0,
Guilherme Bacha,Michael Arshag,W,11x0,Dublin Open,ABS,SF,2022,1.0,11.0
Guilherme Bacha,Sean Coates,W,2x0,Dublin Open,ABS,F,2022,1.0,2.0
Guilherme Bacha,S. Ramazan,W,Armbar,NAS Sports,100,SF,2022,0.0,
Guilherme Cordiviola,Pedro Marinho,L,2x0,World Champ.,ABS,R1,2022,1.0,2.0
Guilherme Cordiviola,Adam Maslach,W,Referee Decision,F2W 196,,SPF,2022,0.0,
Guilherme Rocha,Nick Salles,L,Triangle,Atlanta WO,76,SF,2022,0.0,
Guilherme Rocha,Andy Murasaki,L,2x2,Atlanta WO,ABS,R1,2022,1.0,0.0
Guilherme Rocha,Andy Murasaki,L,Armbar,Miami WO,ABS,F,2022,0.0,
Guilherme Rocha,Uanderson Ferreira,L,1x0,King of Mats,85,RR,2022,1.0,1.0
Guilherme Rocha,Lucas Gualberto,L,Referee Decision,King of Mats,85,RR,2022,0.0,
Guilherme Rocha,Natan Chueng,L,Choke from back,World Champ.,76,R1,2022,0.0,
Guilherme Rocha,Marco Queiroz,L,Referee Decision,Brasileiro NoGi,79,SF,2022,0.0,
Guilherme Rocha,Elder Gomes,L,Botinha,South American,82,4F,2022,0.0,
Guilherme Rocha,Gyula Szabo,L,,European NG,79,4F,2022,0.0,
Guilherme Rocha,Giovanni Carvalho,W,Choke from back,Atlanta WO,76,4F,2022,0.0,
Guilherme Rocha,Adolfo Arias,W,8x0,Miami WO,88,RR,2022,1.0,8.0
Guilherme Rocha,Chris Gabrielson,W,Choke from back,Miami WO,ABS,R1,2022,0.0,
Guilherme Rocha,Matheus Godoy,W,Referee Decision,Miami WO,ABS,4F,2022,0.0,
Guilherme Rocha,Kennedy Maciel,W,2x0,Miami WO,ABS,SF,2022,1.0,2.0
Guilherme Rocha,Leonardo Cruz,W,Choke from back,Salvador Open,76,SF,2022,0.0,
Guilherme Rocha,Anselmo Gomes,W,Choke from back,Salvador Open,76,F,2022,0.0,
Guilherme Rocha,Henrique Silva,W,0x0,Brasileiro NoGi,79,4F,2022,1.0,0.0
Guilherme Rocha,Fernando Santos,W,,South American,82,R1,2022,0.0,
Guilherme Rocha,Jarmo Kullervo,W,,European NG,79,8F,2022,0.0,
Gutemberg Pereira,Wallace Costa,L,2x2,Grand Slam LDN,120,F,2022,1.0,0.0
Gutemberg Pereira,Roberto Abreu,L,2x0,Pan American,100,F,2022,1.0,2.0
Gutemberg Pereira,Mason Fowler,L,Choke from back,Brasileiro,100,4F,2022,0.0,
Gutemberg Pereira,Victor Hugo,L,9x2,World Champ.,100,F,2022,1.0,7.0
Gutemberg Pereira,Gabriel Oliveira,W,Omoplata,Sul Brasileiro,100,SF,2022,0.0,
Gutemberg Pereira,Gabriel Danielski,W,Armbar,Sul Brasileiro,100,F,2022,0.0,
Gutemberg Pereira,Lukasz Przybylski,W,Choke from back,Grand Slam LDN,120,R1,2022,0.0,
Gutemberg Pereira,Andrzej Iwat,W,Katagatame,Grand Slam LDN,120,4F,2022,0.0,
Gutemberg Pereira,Bjorn Wallat,W,Submission,Grand Slam LDN,120,SF,2022,0.0,
Gutemberg Pereira,Orlando Baccino,W,Armbar,Pan American,100,4F,2022,0.0,
Gutemberg Pereira,Roosevelt Sousa,W,Choke,Pan American,100,SF,2022,0.0,
Gutemberg Pereira,Fellipe Andrew,W,Guillotine,BJJ Stars,99,SPF,2022,0.0,
Gutemberg Pereira,Anderson Munis,W,RNC,Brasileiro,ABS,R1,2022,0.0,
Gutemberg Pereira,Renato Tagliari,W,Choke from back,World Champ.,100,4F,2022,0.0,
Gutemberg Pereira,Guilherme Augusto,W,Referee Decision,World Champ.,100,SF,2022,0.0,
Gutemberg Pereira,Nycollas Xavier,W,Arm in Ezekiel,South American,ABS,4F,2022,0.0,
Gutemberg Pereira,Gabriel Henrique,W,4x2,South American,ABS,F,2022,1.0,2.0
Guthierry Barbosa,Pedro Marinho,L,Choke from back,Pan American,ABS,R2,2022,0.0,
Gutemberg Pereira,Harrysson Pereira,W,Armlock,Brasileiro,ABS,SF,2022,0.0,
Guthierry Barbosa,Adam Wardzinski,L,Submission,SD Open,ABS,F,2022,0.0,
Guthierry Barbosa,Fausto Godoy,L,2x2,Grand Slam MIA,85,R1,2022,1.0,0.0
Guthierry Barbosa,Raymond Mugica,W,Choke from back,SD Open,88,SF,2022,0.0,
Guthierry Barbosa,Joao Cizeski,W,Choke from back,SD Open,88,F,2022,0.0,
Guthierry Barbosa,Mathias Luna,W,Points,SD Open,ABS,4F,2022,1.0,
Guthierry Barbosa,Johnny Tama,W,3x2,SD Open,ABS,SF,2022,1.0,1.0
Guthierry Barbosa,Alef Silva,W,Points,Chicago SMO,88,SF,2022,1.0,
Guthierry Barbosa,Nathan Santos,W,3x2,Chicago SMO,88,F,2022,1.0,1.0
Gustavo Campos,Leandro Fraga,L,,Brasilia NGO,85,SF,2022,0.0,
Gustavo Batista,Isaque Bahiense,L,3x0,World Champ.,88,SF,2022,1.0,3.0
Gustavo Batista,Erich Munis,L,2x0,World Champ.,ABS,SF,2022,1.0,2.0
Gustavo Batista,Jansen Gomes,W,2x0,World Champ.,88,8F,2022,1.0,2.0
Gustavo Batista,Enderson Dias,W,4x2,World Champ.,88,4F,2022,1.0,2.0
Gustavo Batista,Pedro Marinho,W,17x0,World Champ.,ABS,8F,2022,1.0,17.0
Gustavo Batista,Victor Hugo,W,Referee Decision,World Champ.,ABS,4F,2022,0.0,
Gyalisson Freitas,Carlos Castro,L,Referee Decision,Pan American,82,R1,2022,0.0,
Gyalisson Freitas,Andy Murasaki,L,Armbar,Charleston FO,82,F,2022,0.0,
Gyalisson Freitas,Francisco Cuneo,L,Points,Charleston FNGO,79,F,2022,1.0,
Gyalisson Freitas,Clay Mayfield,W,Points,Charleston FO,82,SF,2022,1.0,
Gyalisson Freitas,Clay Mayfield,W,Points,Charleston FNGO,79,SF,2022,1.0,
Helton Jose Junior,Dimitrius Souza,L,2x0,Pan American,ABS,R2,2022,1.0,2.0
Harryson Pereira,Gabriel Henrique,L,2x2,Grand Slam RJ,94,SF,2022,1.0,0.0
Harryson Pereira,Hygor Brito,L,Botinha,Grand Slam RJ,94,RPC,2022,0.0,
Harryson Pereira,Davi Souza,L,1x0,AJP SA Team,94,RR,2022,1.0,1.0
Harryson Pereira,Luis Oliveira,L,9x0,Balneario Open,100,F,2022,1.0,9.0
Harryson Pereira,Micael Koch,W,Armbar,SA Cont. Pro,94,RR,2022,0.0,
Harryson Pereira,Pedro Elias,W,3x0,SA Cont. Pro,94,RR,2022,1.0,3.0
Harryson Pereira,Alexandre Ribeiro,W,2x0,World Champ.,94,8F,2022,1.0,2.0
Harryson Pereira,Gustavo Borges,W,Choke from back,Grand Slam RJ,94,R1,2022,0.0,
Harryson Pereira,Pedro Machado,W,1x1,Grand Slam RJ,94,4F,2022,1.0,0.0
Harryson Pereira,Luiz Henrique,D,---,AJP SA Team,94,RR,2022,0.0,
Harryson Pereira,Marcus Ruiz,W,Armbar,Balneario Open,100,SF,2022,0.0,
Helton Jose Junior,Roosevelt Sousa,L,2x0,Atlanta SPO,100,F,2022,1.0,2.0
Helton Jose Junior,Jansen Gomes,L,Referee Decision,Chicago SPO,ABS,4F,2022,0.0,
Helton Jose Junior,Erich Munis,L,4x0,World Champ.,ABS,8F,2022,1.0,4.0
Helton Jose Junior,Aaron Tiegs,L,2x0,American NGN,ABS,4F,2022,1.0,2.0
Helton Jose Junior,Vinicius Trator,L,5x2,Grand Slam MIA,120,4F,2022,1.0,3.0
Helton Jose Junior,Herico Hesley,L,4x0,Grand Slam MIA,120,RPC,2022,1.0,4.0
Helton Jose Junior,Roosevelt Sousa,L,6x0,NoGi Worlds,ABS,8F,2022,1.0,6.0
Helton Jose Junior,Roosevelt Sousa,L,RNC,NoGi Worlds,97,8F,2022,0.0,
Helton Jose Junior,Nicholas Meregali,L,Choke from back,World Champ.,100,4F,2022,0.0,
Guthierry Barbosa,Sebastian Rodriguez,L,Armlock,Pan American,88,R1,2022,0.0,
Helton Jose Junior,David Margraf,W,9x0,N. Orleans Open,100,F,2022,1.0,9.0
Helton Jose Junior,Jansen Gomes,W,0x0,N. Orleans Open,ABS,4F,2022,1.0,0.0
Helton Jose Junior,Joao Braz,W,2x2,N. Orleans Open,ABS,SF,2022,1.0,0.0
Helton Jose Junior,Mathias Luna,W,0x0,N. Orleans Open,ABS,F,2022,1.0,0.0
Helton Jose Junior,Levi Moura,W,6x0,Atlanta SPO,100,SF,2022,1.0,6.0
Helton Jose Junior,Gabriel Araujo,W,Armbar,Chicago SPO,100,F,2022,0.0,
Helton Jose Junior,Jae Pierce,W,Choke from back,World Champ.,ABS,R1,2022,0.0,
Helton Jose Junior,Paulo Lanzillotti,W,3x0,American NGN,97,SF,2022,1.0,3.0
Helton Jose Junior,Rida Haisam,W,DQ,American NGN,97,F,2022,0.0,
Henrique Cardoso,Catriel Oliveira,L,Armbar,President Cup,,3RD,2022,0.0,
Henrique Cardoso,Felipe Pena,L,Pen,BJJ Stars,99,SPF,2022,0.0,
Henrique Cardoso,Abdallah Aljuwaid,W,Armbar,President Cup,,,2022,0.0,
Henrique Cardoso,Musaab Mohamed,W,Choke from back,President Cup,,,2022,0.0,
Henrique Cardoso,Abdallah Aljuwaid,W,Submission,President Cup,,,2022,0.0,
Henrique Cardoso,Jackson Ferreira,W,Choke from back,Floripa WO,100,SF,2022,0.0,
Henrique Cardoso,Gabriel Bosque,W,Short choke,Floripa WNGO,ABS,SF,2022,0.0,
Henrique Cardoso,Miguel Curi,W,Short choke,Floripa WNGO,ABS,F,2022,0.0,
Henrique Cardoso,Vinicius Aquino,W,Short choke,Brasileiro NoGi,ABS,8F,2022,0.0,
Henrique Cardoso,Pedro Agrizzi,W,0x0,Brasileiro NoGi,ABS,4F,2022,1.0,0.0
Henrique Cardoso,Wallace Costa,W,6x2,Brasileiro NoGi,ABS,SF,2022,1.0,4.0
Henrique Cardoso,Antonio Assef,W,8x2,Brasileiro NoGi,ABS,F,2022,1.0,6.0
Henrique Cardoso,Felipe Costa,W,4x0,NoGi Worlds,ABS,8F,2022,1.0,4.0
Henrique Cardoso,Hunter Colvin,W,11x0,NoGi Worlds,ABS,4F,2022,1.0,11.0
Henrique Cardoso,Roosevelt Sousa,W,Referee Decision,NoGi Worlds,ABS,SF,2022,0.0,
Henrique Cardoso,Freddy Vosgrone,W,7x2,NoGi Worlds,97,4F,2022,1.0,5.0
Henrique Cardoso,Felipe Costa,W,4x0,NoGi Worlds,97,SF,2022,1.0,4.0
Henrique Cardoso,Fellipe Trovo,W,2x0,NoGi Worlds,97,F,2022,1.0,2.0
Hiago Gama,Joseph Peter,W,Armbar,N. Haven Open,64,F,2022,0.0,
Hiago Gama,Reynaldo Leon,W,13x2,N. Haven NGO,61,SF,2022,1.0,11.0
Higor Lima,Kauan Barboza,L,Choke from back,Rio SMO,82,R1,2022,0.0,
Higor Lima,Alex Sodre,L,11x8,Curitiba Open,76,4F,2022,1.0,3.0
Higor Lima,Rafael Paganini,L,Guillotine,Curitiba Open,ABS,SF,2022,0.0,
Higor Lima,Artur Oliveira,L,4x3,Grand Slam RJ,69,8F,2022,1.0,1.0
Higor Lima,Wesley Possamai,W,2x2,Curitiba Open,76,R1,2022,1.0,0.0
Higor Lima,Rhuan Duarte,W,2x0,Curitiba Open,ABS,R1,2022,1.0,2.0
Higor Lima,Hugo Gambino,W,,Curitiba Open,ABS,R2,2022,0.0,
Higor Lima,Joao Freitas,W,Points,Curitiba Open,ABS,4F,2022,1.0,
Higor Lima,Luan Silva,W,Submission,Belem Pro,76,SF,2022,0.0,
Higor Lima,Anderson Macedo,W,1x0,Belem Pro,76,F,2022,1.0,1.0
Higor Lima,Gabriel Neves,W,Armbar,Grand Slam RJ,69,R1,2022,0.0,
Horlando Monteiro,Lucas Lisboa,W,6x2,Austin WO,94,SF,2022,1.0,4.0
Horlando Monteiro,Juan Romero,W,Triangle,Austin WO,94,F,2022,0.0,
Horlando Monteiro,Carlos Feitosa,W,Loop choke,Dallas Open,88,4F,2022,0.0,
Horlando Monteiro,Thiago Andrade,W,Triangle,Dallas Open,88,SF,2022,0.0,
Horlando Monteiro,Enderson Dias,W,4x2,Dallas Open,88,F,2022,1.0,2.0
Horlando Monteiro,Jeremy Nitta,W,RNC,F2W 126,,SPF,2022,0.0,
Hugo Marques,Jeferson Guaresi,L,0x0,Charleston Open,ABS,F,2022,1.0,0.0
Hugo Marques,Igor Feliz,L,Referee Decision,Pan American,76,4F,2022,0.0,
Hugo Marques,Levi Moura,W,2x0,Charleston Open,ABS,R1,2022,1.0,2.0
Hugo Marques,Andrew Pardee,W,Armbar,Charleston Open,76,4F,2022,0.0,
Hugo Marques,Rodrigo Gortari,W,16x0,Charleston Open,76,F,2022,1.0,16.0
Hugo Marques,Francisco Cuneo,W,RNC,Charleston NGO,79,F,2022,0.0,
Hugo Marques,Gabriel Silva,W,Armbar,Pan American,76,R1,2022,0.0,
Hugo Marques,Marcelo Fausto,W,8x4,Pan American,76,R2,2022,1.0,4.0
Keven Carrasco,Bebeto Oliveira,L,Referee Decision,American Nat.,64,SF,2022,0.0,
Keven Carrasco,Huthayfah Penney,W,Triangle,American Nat.,64,4F,2022,0.0,
Hygor Brito,Jakub Zajkowski,L,Choke,European Open,94,4F,2022,0.0,
Hygor Brito,Perttu Tepponen,L,Choke from back,European Open,ABS,8F,2022,0.0,
Hygor Brito,Erich Munis,L,5x2,Grand Slam LDN,94,SF,2022,1.0,3.0
Hygor Brito,Adam Wardzinski,L,3x0,Grand Slam LDN,94,RPC,2022,1.0,3.0
Hygor Brito,Leon Brito,L,0x0,Brasileiro,94,4F,2022,1.0,0.0
Hygor Brito,Elionai Braz,L,Armbar,Rio WO,94,SF,2022,0.0,
Hygor Brito,Darlan Casaca,L,Referee Decision,Rio WO,ABS,SF,2022,0.0,
Hygor Brito,Rider Zuchi,L,2x0,Grand Slam RJ,94,4F,2022,1.0,2.0
Hygor Brito,Pedro Machado,L,DQ,Grand Slam RJ,94,3RD,2022,0.0,
Hygor Brito,Gabriel Henrique,L,Armbar,Brasilia Open,ABS,F,2022,0.0,
Hygor Brito,Roy Dagan,W,2x2,European Open,94,R1,2022,1.0,0.0
Hygor Brito,Eric Bergman,W,2x0,European Open,ABS,R1,2022,1.0,2.0
Hygor Brito,Julian Stonjek,W,Points,Grand Slam LDN,94,4F,2022,1.0,
Hygor Brito,Vinicius Lessa,W,Botinha,Brasileiro,94,R1,2022,0.0,
Hygor Brito,Rafael Moreira,W,0x0,Rio WO,94,4F,2022,1.0,0.0
Hygor Brito,Wellington Silva,W,Botinha,Rio WO,ABS,R1,2022,0.0,
Hygor Brito,Leandro Santos,W,3x2,Grand Slam RJ,94,R1,2022,1.0,1.0
Hygor Brito,Harryson Pereira,W,Botinha,Grand Slam RJ,94,RPC,2022,0.0,
Hygor Brito,Nycollas Xavier,W,2x0,Balneario Open,94,SF,2022,1.0,2.0
Hygor Brito,Leandro Carlos,W,Referee Decision,Balneario Open,94,F,2022,0.0,
Hygor Brito,Higor Rodrigues,W,Choke from back,Brasilia Open,100,SF,2022,0.0,
Hygor Brito,Marcus Ruiz,W,50/50 armbar,Brasilia Open,ABS,4F,2022,0.0,
Hygor Brito,Eduardo Macedo,W,Botinha,Brasilia Open,ABS,SF,2022,0.0,
Hygor Brito,Matheus Freire,W,Guillotine,Brasilia NGO,97,F,2022,0.0,
Hygor Brito,Renzo Jesus,W,Terra footlock,Brasilia NGO,ABS,F,2022,0.0,
Igor Feliz,Marcelo Fausto,L,2x0,European Open,76,SF,2022,1.0,2.0
Igor Feliz,Andy Murasaki,L,5x0,Pan American,76,SF,2022,1.0,5.0
Igor Feliz,Jonnatas Gracie,L,7x0,World Champ.,76,8F,2022,1.0,7.0
Igor Feliz,Bryn Jenkins,W,8x0,European Open,76,R1,2022,1.0,8.0
Igor Feliz,Alexandre Molinaro,W,Referee Decision,European Open,76,4F,2022,0.0,
Igor Feliz,Fabricio Barbarotti,W,Referee Decision,Pan American,76,R2,2022,0.0,
Igor Feliz,Hugo Marques,W,Referee Decision,Pan American,76,4F,2022,0.0,
Igor Feliz,Kevin Mahecha,W,2x2,World Champ.,76,R1,2022,1.0,0.0
Igor Feliz,Alef Silva,W,Choke from back,N. Orleans SMO,76,SF,2022,0.0,
Igor Feliz,Arthur Detanico,W,10x2,N. Orleans SMO,76,F,2022,1.0,8.0
Igor Feliz,Isaiah Vicens,W,Choke from back,N. Haven Open,82,4F,2022,0.0,
Igor Feliz,Marcus Johnson,W,16x0,N. Haven Open,82,SF,2022,1.0,16.0
Igor Feliz,Italo Moura,W,Referee Decision,N. Haven Open,82,F,2022,0.0,
Igor Feliz,Pierre Manzo,W,12x0,European NG,79,R1,2022,1.0,12.0
Igor Feliz,Jed Hue,W,5x0,European NG,79,8F,2022,1.0,5.0
Igor Feliz,Ellis Younger,W,18x0,European NG,79,4F,2022,1.0,18.0
Igor Feliz,Pierpaolo Chiappe,W,4x0,European NG,79,F,2022,1.0,4.0
Igor Feliz,Lucas Queiroz,W,RNC,NoGi Worlds,79,8F,2022,0.0,
Igor Feliz,Johnny Tama,W,Referee Decision,NoGi Worlds,79,4F,2022,0.0,
Igor Feliz,John Combs,W,4x0,NoGi Worlds,79,SF,2022,1.0,4.0
Igor Silva,Wallace Costa,L,2x0,Grand Slam LDN,120,SF,2022,1.0,2.0
Igor Feliz,Gyula Szabo,W,Adv,European NG,79,SF,2022,0.0,
Igor Silva,Omar Frederick,W,9x0,Grand Slam LDN,120,R1,2022,1.0,9.0
Igor Silva,Yatan Bueno,W,Submission,Grand Slam LDN,120,4F,2022,0.0,
Igor Silva,Omar Frederik,W,,Dublin Open,100,SF,2022,0.0,
Igor Silva,Lucasz Michalec,W,Armbar,Dublin Open,100,F,2022,0.0,
Igor Schneider,Victor Hugo,L,Referee Decision,F2W 193,93,SPF,2022,0.0,
Igor Schneider,Roosevelt Sousa,L,2x0,Pan American,100,4F,2022,1.0,2.0
Igor Schneider,Wallace Costa,L,6x5,World Champ.,100,4F,2022,1.0,1.0
Igor Schneider,Manuel Ribamar,L,Points,Austin SMO,ABS,F,2022,1.0,
Gordon Ryan,Felipe Pena,W,Verbal tap,WNO 14,ABS,SPF,2022,0.0,
Igor Schneider,Ismael Santos,W,Points,Indianapolis Open,100,F,2022,1.0,
Igor Schneider,Sebastian Rodriguez,W,3x0,Indianapolis Open,ABS,4F,2022,1.0,3.0
Igor Schneider,Charles Murdock,W,Choke from back,Indianapolis Open,ABS,SF,2022,0.0,
Igor Schneider,Austin Oranday,W,Cachecol choke,Indianapolis Open,ABS,F,2022,0.0,
Igor Schneider,Matthew Torres,W,Choke from back,Houston Open,100,SF,2022,0.0,
Igor Schneider,Youngseung Cho,W,14x2,Houston Open,ABS,4F,2022,1.0,12.0
Igor Schneider,Andrew Kimler,W,26x2,Houston NGO,97,RR,2022,1.0,24.0
Igor Schneider,Andrew Kimler,W,41x0,Houston NGO,97,F,2022,1.0,41.0
Igor Schneider,Orlando Baccino,W,Choke from back,World Champ.,100,8F,2022,0.0,
Igor Schneider,Theodore Sanders,W,Choke from back,Austin SMO,100,SF,2022,0.0,
Igor Schneider,Matt Torres,W,Cachecol choke,Austin SMO,100,F,2022,0.0,
Igor Schneider,Cassio Costa,W,0x0,Austin SMO,ABS,4F,2022,1.0,0.0
Igor Schneider,Luan Azevedo,W,Points,Austin SMO,ABS,SF,2022,1.0,
Igor Schneider,Alexandre Santos,W,20x0,Austin SMNGO,100,F,2022,1.0,20.0
Igor Tanabe,Mason Fowler,D,---,Polaris 20,ABS,RR,2022,0.0,
Igor Tanabe,Kohei Soeda,W,Armbar,KIT4,,SPF,2022,0.0,
Igor Tanabe,Hunter Colvin,D,---,Polaris 20,ABS,RR,2022,0.0,
Igor Tanabe,Nick Ronan,D,---,Polaris 20,ABS,RR,2022,0.0,
Ingridd Alves,Thalyta Lima,L,1x0,Grand Slam LDN,70,SF,2022,1.0,1.0
Ingridd Alves,Julia Boscher,L,3x3,Queen of Mats,95,RR,2022,1.0,0.0
Ingridd Alves,Yara Soares,L,3x2,Queen of Mats,95,SF,2022,1.0,1.0
Ingridd Alves,Rebeca Lima,L,2x2,Grand Slam AD,70,SF,2022,1.0,0.0
Ingridd Alves,Rafaela Bertolot,L,2x1,Grand Slam AD,70,3RD,2022,1.0,1.0
Ingridd Alves,Luciana Mota,L,0x0,World Champ.,74,SF,2022,1.0,0.0
Ingridd Alves,Gabrieli Pessanha,L,2x0,Grand Slam RJ,95,F,2022,1.0,2.0
Ingridd Alves,Elisabeth Clay,L,1x1,Grand Slam MIA,70,4F,2022,1.0,0.0
Ingridd Alves,Rafaela Bertolot,L,2x1,Asia Pro,70,F,2022,1.0,1.0
Ingridd Alves,Izadora Cristina,L,3x2,World Pro,70,4F,2022,1.0,1.0
Ingridd Alves,Larissa Santos,W,2x1,Gramado Pro,70,RR,2022,1.0,1.0
Ingridd Alves,Larissa Santos,W,3x1,Gramado Pro,70,F,2022,1.0,2.0
Ingridd Alves,Emily Eyles,W,Choke from back,Grand Slam LDN,70,4F,2022,0.0,
Ingridd Alves,Gabriela Silva,W,5x3,Grand Slam LDN,70,RPC,2022,1.0,2.0
Ingridd Alves,Julija Stoliarenko,W,DQ,Grand Slam LDN,70,3RD,2022,0.0,
Ingridd Alves,Amanda Hening,W,5x0,SJ Pinhais Pro,70,RR,2022,1.0,5.0
Ingridd Alves,Amanda Hening,W,11x1,SJ Pinhais Pro,70,RR,2022,1.0,10.0
Ingridd Alves,Marija Colic,W,Choke from back,Bosnia Pro,95,F,2022,0.0,
Ingridd Alves,Lygia Tavares,W,Armbar,Porto Pro,70,SF,2022,0.0,
Ingridd Alves,Thalyta Lima,W,3x1,Queen of Mats,95,3RD,2022,1.0,2.0
Ingridd Alves,Helen Vieira,W,Submission,Grand Slam AD,70,4F,2022,0.0,
Ingridd Alves,Julia Boscher,W,Submission,Grand Slam AD,70,RPC,2022,0.0,
Ingridd Alves,Izadora Cristina,W,Triangle,World Champ.,74,4F,2022,0.0,
Ingridd Alves,Karoline Caramori,W,7x0,Grand Slam RJ,95,R1,2022,1.0,7.0
Ingridd Alves,Thaynara Dias,W,3x0,Grand Slam RJ,95,4F,2022,1.0,3.0
Ingridd Alves,Julia Boscher,W,5x1,Grand Slam MIA,70,RPC,2022,1.0,4.0
Ingridd Alves,Amanda Hening,W,4x2,Grand Slam MIA,70,3RD,2022,1.0,2.0
Ingridd Alves,Iara Vieira,W,Submission,Asia Pro,70,SF,2022,0.0,
Ingridd Alves,Sabatha Lais,W,2x0,BJJ Stars,69,SPF,2022,1.0,2.0
